,ID,Name,LongName,Parent,McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of bugs
0,L812,DefaultConfigurationFactory.java,library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java,L811,4,0,49,1,932,1,0,1
1,L813,DisplayBitmapTask.java,library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java,L811,4,0,41,1,932,1,0,2
2,L814,DisplayImageOptions.java,library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java,L811,1,0,128,1,932,1,0,1
3,L815,ImageDecoder.java,library/src/com/nostra13/universalimageloader/core/ImageDecoder.java,L811,27,0,125,1,932,1,0,1
4,L816,ImageLoader.java,library/src/com/nostra13/universalimageloader/core/ImageLoader.java,L811,40,0,251,1,932,1,0,4
5,L817,ImageLoaderConfiguration.java,library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java,L811,21,0,204,1,932,1,0,1
6,L818,ImageLoadingInfo.java,library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java,L811,1,0,25,1,932,1,0,0
7,L819,LoadAndDisplayImageTask.java,library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java,L811,48,0,258,1,932,1,0,7
8,L2828,FileUtils.java,library/src/com/nostra13/universalimageloader/utils/FileUtils.java,L2827,3,0,19,1,932,1,0,0
9,L2829,L.java,library/src/com/nostra13/universalimageloader/utils/L.java,L2827,4,0,40,1,932,1,0,0
10,L2830,StorageUtils.java,library/src/com/nostra13/universalimageloader/utils/StorageUtils.java,L2827,12,0,56,1,932,1,0,3
11,L116,BaseDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java,L115,3,0,32,1,932,1,0,0
12,L117,DiscCacheAware.java,library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java,L115,1,0,7,1,932,1,0,0
13,L118,LimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java,L115,9,0,86,1,932,1,0,2
14,L416,BaseMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java,L415,2,0,36,1,932,1,0,2
15,L417,LimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java,L415,7,0,58,1,932,1,0,1
16,L418,MemoryCacheAware.java,library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java,L415,1,0,9,1,932,1,0,0
17,L822,FailReason.java,library/src/com/nostra13/universalimageloader/core/assist/FailReason.java,L821,1,0,4,1,932,1,0,0
18,L823,FlushedInputStream.java,library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java,L821,4,0,26,1,932,1,0,0
19,L824,ImageLoadingListener.java,library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingListener.java,L821,1,0,9,1,932,1,0,0
20,L825,ImageScaleType.java,library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java,L821,1,0,15,1,932,1,0,0
21,L826,ImageSize.java,library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java,L821,1,0,20,1,932,1,0,0
22,L827,MemoryCacheUtil.java,library/src/com/nostra13/universalimageloader/core/assist/MemoryCacheUtil.java,L821,8,0,55,1,932,1,0,0
23,L828,PauseOnScrollListener.java,library/src/com/nostra13/universalimageloader/core/assist/PauseOnScrollListener.java,L821,8,0,46,1,932,1,0,1
24,L829,QueueProcessingType.java,library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java,L821,1,0,4,1,932,1,0,0
25,L830,SimpleImageLoadingListener.java,library/src/com/nostra13/universalimageloader/core/assist/SimpleImageLoadingListener.java,L821,1,0,16,1,932,1,0,0
26,L831,ViewScaleType.java,library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java,L821,9,0,22,1,932,1,0,0
27,L1779,BitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java,L1778,1,0,6,1,932,1,0,0
28,L1780,FadeInBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/FadeInBitmapDisplayer.java,L1778,1,0,20,1,932,1,0,0
29,L1781,FakeBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/FakeBitmapDisplayer.java,L1778,1,0,11,1,932,1,0,0
30,L1782,RoundedBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java,L1778,2,0,43,1,932,1,0,2
31,L1783,SimpleBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/SimpleBitmapDisplayer.java,L1778,1,0,10,1,932,1,0,0
32,L2041,HttpClientImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java,L2040,1,0,23,1,932,1,0,1
33,L2042,ImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java,L2040,5,0,29,1,932,1,0,1
34,L2043,URLConnectionImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/URLConnectionImageDownloader.java,L2040,1,0,27,1,932,1,0,0
35,L182,FileCountLimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/FileCountLimitedDiscCache.java,L181,1,0,17,1,932,1,0,0
36,L183,LimitedAgeDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/LimitedAgeDiscCache.java,L181,5,0,47,2,1,2,1,1
37,L184,TotalSizeLimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/TotalSizeLimitedDiscCache.java,L181,2,0,23,1,932,1,0,0
38,L185,UnlimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/UnlimitedDiscCache.java,L181,1,0,17,1,932,1,0,0
39,L358,FileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator.java,L357,1,0,4,1,932,1,0,0
40,L359,HashCodeFileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/HashCodeFileNameGenerator.java,L357,1,0,7,1,932,1,0,0
41,L360,Md5FileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/Md5FileNameGenerator.java,L357,2,0,26,1,932,1,0,0
42,L477,FIFOLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/FIFOLimitedMemoryCache.java,L476,3,0,48,1,932,1,0,0
43,L478,FuzzyKeyMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/FuzzyKeyMemoryCache.java,L476,3,0,41,1,932,1,0,0
44,L479,LargestLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LargestLimitedMemoryCache.java,L476,6,0,68,1,932,1,0,0
45,L480,LimitedAgeMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LimitedAgeMemoryCache.java,L476,4,0,46,1,932,1,0,0
46,L481,LRULimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LRULimitedMemoryCache.java,L476,3,0,63,1,932,1,0,0
47,L482,UsingFreqLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/UsingFreqLimitedMemoryCache.java,L476,8,0,79,1,932,1,0,0
48,L483,WeakMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/WeakMemoryCache.java,L476,1,0,11,1,932,1,0,0
49,L834,BlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/BlockingDeque.java,L833,1,0,42,1,932,1,0,0
50,L835,Deque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/Deque.java,L833,1,0,36,1,932,1,0,0
51,L836,LIFOLinkedBlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/LIFOLinkedBlockingDeque.java,L833,1,0,13,1,932,1,0,0
52,L837,LinkedBlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java,L833,74,0,632,1,932,1,0,0
53,L2919,BaseActivity.java,sample/src/com/nostra13/example/universalimageloader/BaseActivity.java,L2918,4,0,39,1,932,2,0,0
54,L2920,Constants.java,sample/src/com/nostra13/example/universalimageloader/Constants.java,L2918,1,0,85,1,932,1,0,0
55,L2921,HomeActivity.java,sample/src/com/nostra13/example/universalimageloader/HomeActivity.java,L2918,1,0,33,1,932,1,0,0
56,L2922,ImageGalleryActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageGalleryActivity.java,L2918,2,0,60,1,932,1,0,0
57,L2923,ImageGridActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageGridActivity.java,L2918,2,0,72,1,932,1,0,1
58,L2924,ImageListActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageListActivity.java,L2918,2,0,82,1,932,1,0,1
59,L2925,ImagePagerActivity.java,sample/src/com/nostra13/example/universalimageloader/ImagePagerActivity.java,L2918,6,0,117,1,932,1,0,0
60,L2926,UILApplication.java,sample/src/com/nostra13/example/universalimageloader/UILApplication.java,L2918,1,0,23,1,932,1,0,0
61,L2976,ExtendedImageDownloader.java,sample/src/com/nostra13/example/universalimageloader/downloader/ExtendedImageDownloader.java,L2975,3,0,45,1,932,1,0,0
62,L3368,UILWidgetProvider.java,sample/src/com/nostra13/example/universalimageloader/widget/UILWidgetProvider.java,L3367,2,0,52,1,932,1,0,0
63,L112,R.java,library/test-gen/com/nostra13/universalimageloader/R.java,L111,1,0,19,1,932,1,0,0
64,L924,DefaultConfigurationFactory.java,library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java,L923,10,0,98,1,932,13,1,1
65,L925,DisplayBitmapTask.java,library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java,L923,6,0,54,1,932,13,2,1
66,L926,DisplayImageOptions.java,library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java,L923,5,0,221,2,932,18,1,1
67,L927,ImageLoader.java,library/src/com/nostra13/universalimageloader/core/ImageLoader.java,L923,23,0,192,3,932,36,4,2
68,L928,ImageLoaderConfiguration.java,library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java,L923,40,0,284,2,932,26,1,1
69,L929,ImageLoaderEngine.java,library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java,L923,9,0,112,1,932,13,2,1
70,L930,ImageLoadingInfo.java,library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java,L923,1,0,26,1,932,8,0,1
71,L931,LoadAndDisplayImageTask.java,library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java,L923,64,0,337,1,932,40,7,2
72,L932,ProcessAndDisplayImageTask.java,library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java,L923,2,0,27,1,932,9,2,0
73,L3741,ImageSizeUtils.java,library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java,L3740,37,0,100,2,932,5,0,1
74,L3742,IoUtils.java,library/src/com/nostra13/universalimageloader/utils/IoUtils.java,L3740,4,0,26,1,932,6,0,0
75,L3743,L.java,library/src/com/nostra13/universalimageloader/utils/L.java,L3740,5,0,48,1,932,6,0,0
76,L3744,StorageUtils.java,library/src/com/nostra13/universalimageloader/utils/StorageUtils.java,L3740,15,0,66,2,932,12,3,2
77,L121,BaseDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/BaseDiscCache.java,L120,5,0,36,2,932,9,0,0
78,L122,DiscCacheAware.java,library/src/com/nostra13/universalimageloader/cache/disc/DiscCacheAware.java,L120,1,0,7,1,932,6,0,0
79,L123,LimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java,L120,12,0,104,2,932,13,2,0
80,L456,BaseMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/BaseMemoryCache.java,L455,2,0,35,1,932,7,2,0
81,L457,LimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/LimitedMemoryCache.java,L455,7,0,61,1,932,8,1,0
82,L458,MemoryCacheAware.java,library/src/com/nostra13/universalimageloader/cache/memory/MemoryCacheAware.java,L455,1,0,9,1,932,5,0,0
83,L935,DiscCacheUtil.java,library/src/com/nostra13/universalimageloader/core/assist/DiscCacheUtil.java,L934,2,0,15,1,932,5,0,0
84,L936,FailReason.java,library/src/com/nostra13/universalimageloader/core/assist/FailReason.java,L934,1,0,22,1,932,7,0,0
85,L937,FlushedInputStream.java,library/src/com/nostra13/universalimageloader/core/assist/FlushedInputStream.java,L934,4,0,26,1,932,3,0,0
86,L938,ImageLoadingListener.java,library/src/com/nostra13/universalimageloader/core/assist/ImageLoadingListener.java,L934,1,0,9,1,932,8,0,0
87,L939,ImageScaleType.java,library/src/com/nostra13/universalimageloader/core/assist/ImageScaleType.java,L934,1,0,8,1,932,6,0,0
88,L940,ImageSize.java,library/src/com/nostra13/universalimageloader/core/assist/ImageSize.java,L934,2,0,36,1,932,8,0,0
89,L941,LoadedFrom.java,library/src/com/nostra13/universalimageloader/core/assist/LoadedFrom.java,L934,1,0,4,1,932,2,0,0
90,L942,MemoryCacheUtil.java,library/src/com/nostra13/universalimageloader/core/assist/MemoryCacheUtil.java,L934,8,0,55,1,932,8,0,0
91,L943,PauseOnScrollListener.java,library/src/com/nostra13/universalimageloader/core/assist/PauseOnScrollListener.java,L934,8,0,48,1,932,5,1,0
92,L944,QueueProcessingType.java,library/src/com/nostra13/universalimageloader/core/assist/QueueProcessingType.java,L934,1,0,4,1,932,5,0,0
93,L945,SimpleImageLoadingListener.java,library/src/com/nostra13/universalimageloader/core/assist/SimpleImageLoadingListener.java,L934,1,0,17,1,932,6,0,0
94,L946,ViewScaleType.java,library/src/com/nostra13/universalimageloader/core/assist/ViewScaleType.java,L934,9,0,22,1,932,6,0,0
95,L1987,BaseImageDecoder.java,library/src/com/nostra13/universalimageloader/core/decode/BaseImageDecoder.java,L1986,25,0,158,1,932,4,0,2
96,L1988,ImageDecoder.java,library/src/com/nostra13/universalimageloader/core/decode/ImageDecoder.java,L1986,1,0,6,1,932,3,0,0
97,L1989,ImageDecodingInfo.java,library/src/com/nostra13/universalimageloader/core/decode/ImageDecodingInfo.java,L1986,3,0,79,1,932,2,0,0
98,L2414,BitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java,L2413,1,0,7,1,932,8,0,1
99,L2415,FadeInBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/FadeInBitmapDisplayer.java,L2413,1,0,24,1,932,7,0,1
100,L2416,FakeBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/FakeBitmapDisplayer.java,L2413,1,0,12,1,932,7,0,1
101,L2417,RoundedBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/RoundedBitmapDisplayer.java,L2413,15,0,123,1,932,11,3,2
102,L2418,SimpleBitmapDisplayer.java,library/src/com/nostra13/universalimageloader/core/display/SimpleBitmapDisplayer.java,L2413,1,0,11,1,932,6,0,1
103,L2769,BaseImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java,L2768,10,0,94,1,932,15,2,0
104,L2770,HttpClientImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java,L2768,1,0,24,1,932,6,1,0
105,L2771,ImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java,L2768,5,0,38,1,932,13,1,1
106,L2772,NetworkDeniedImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/NetworkDeniedImageDownloader.java,L2768,3,0,19,1,932,6,1,0
107,L2773,SlowNetworkImageDownloader.java,library/src/com/nostra13/universalimageloader/core/download/SlowNetworkImageDownloader.java,L2768,3,0,21,1,932,4,1,0
108,L3719,BitmapProcessor.java,library/src/com/nostra13/universalimageloader/core/process/BitmapProcessor.java,L3718,1,0,6,1,932,7,0,0
109,L195,FileCountLimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/FileCountLimitedDiscCache.java,L194,1,0,17,1,932,6,0,0
110,L196,LimitedAgeDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/LimitedAgeDiscCache.java,L194,5,0,46,2,932,8,2,0
111,L197,TotalSizeLimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/TotalSizeLimitedDiscCache.java,L194,2,0,23,1,932,6,0,0
112,L198,UnlimitedDiscCache.java,library/src/com/nostra13/universalimageloader/cache/disc/impl/UnlimitedDiscCache.java,L194,1,0,17,1,932,7,0,0
113,L398,FileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/FileNameGenerator.java,L397,1,0,4,1,932,5,0,0
114,L399,HashCodeFileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/HashCodeFileNameGenerator.java,L397,1,0,7,1,932,5,0,0
115,L400,Md5FileNameGenerator.java,library/src/com/nostra13/universalimageloader/cache/disc/naming/Md5FileNameGenerator.java,L397,2,0,26,1,932,5,0,0
116,L522,FIFOLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/FIFOLimitedMemoryCache.java,L521,3,0,48,1,932,6,0,0
117,L523,FuzzyKeyMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/FuzzyKeyMemoryCache.java,L521,4,0,44,1,932,7,0,0
118,L524,LargestLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LargestLimitedMemoryCache.java,L521,6,0,68,1,932,6,0,0
119,L525,LimitedAgeMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LimitedAgeMemoryCache.java,L521,4,0,46,1,932,5,0,0
120,L526,LRULimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LRULimitedMemoryCache.java,L521,3,0,63,1,932,6,0,0
121,L527,LruMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/LruMemoryCache.java,L521,15,0,94,1,932,5,1,0
122,L528,UsingFreqLimitedMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/UsingFreqLimitedMemoryCache.java,L521,8,0,79,1,932,6,0,0
123,L529,WeakMemoryCache.java,library/src/com/nostra13/universalimageloader/cache/memory/impl/WeakMemoryCache.java,L521,1,0,11,1,932,6,0,0
124,L956,BlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/BlockingDeque.java,L955,1,0,42,1,932,1,0,0
125,L957,Deque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/Deque.java,L955,1,0,36,1,932,1,0,0
126,L958,LIFOLinkedBlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/LIFOLinkedBlockingDeque.java,L955,1,0,13,1,932,2,0,0
127,L959,LinkedBlockingDeque.java,library/src/com/nostra13/universalimageloader/core/assist/deque/LinkedBlockingDeque.java,L955,74,0,632,1,932,1,0,0
128,L953,ImageSizeTest.java,library/test/com/nostra13/universalimageloader/core/assist/ImageSizeTest.java,L952,1,0,72,1,932,1,0,0
129,L2775,BaseImageDownloaderTest.java,library/test/com/nostra13/universalimageloader/core/download/BaseImageDownloaderTest.java,L2774,1,0,58,1,932,1,0,0
130,L3912,AbsListViewBaseActivity.java,sample/src/com/nostra13/example/universalimageloader/AbsListViewBaseActivity.java,L3911,3,0,58,1,932,1,0,0
131,L3913,BaseActivity.java,sample/src/com/nostra13/example/universalimageloader/BaseActivity.java,L3911,3,0,26,1,932,4,0,0
132,L3914,Constants.java,sample/src/com/nostra13/example/universalimageloader/Constants.java,L3911,1,0,89,1,932,9,0,0
133,L3915,HomeActivity.java,sample/src/com/nostra13/example/universalimageloader/HomeActivity.java,L3911,4,0,72,1,932,6,0,0
134,L3916,ImageGalleryActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageGalleryActivity.java,L3911,2,0,69,1,932,7,0,0
135,L3917,ImageGridActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageGridActivity.java,L3911,2,0,71,1,932,9,1,0
136,L3918,ImageListActivity.java,sample/src/com/nostra13/example/universalimageloader/ImageListActivity.java,L3911,4,0,109,1,932,16,1,0
137,L3919,ImagePagerActivity.java,sample/src/com/nostra13/example/universalimageloader/ImagePagerActivity.java,L3911,7,0,123,1,932,13,0,0
138,L3920,UILApplication.java,sample/src/com/nostra13/example/universalimageloader/UILApplication.java,L3911,3,0,34,1,932,12,0,0
139,L4434,UILWidgetProvider.java,sample/src/com/nostra13/example/universalimageloader/widget/UILWidgetProvider.java,L4433,2,0,48,1,932,6,0,0
141,L926,DefaultConfigurationFactory.java,library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java,L925,9,0,95,1,932,19,2,0
142,L927,DisplayBitmapTask.java,library/src/com/nostra13/universalimageloader/core/DisplayBitmapTask.java,L925,6,0,53,1,932,18,3,0
143,L928,DisplayImageOptions.java,library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java,L925,13,0,285,3,932,30,2,0
144,L929,ImageLoader.java,library/src/com/nostra13/universalimageloader/core/ImageLoader.java,L925,25,0,251,3,932,52,6,0
145,L930,ImageLoaderConfiguration.java,library/src/com/nostra13/universalimageloader/core/ImageLoaderConfiguration.java,L925,42,0,309,2,932,30,2,0
146,L931,ImageLoaderEngine.java,library/src/com/nostra13/universalimageloader/core/ImageLoaderEngine.java,L925,9,0,120,1,932,19,3,0
147,L932,ImageLoadingInfo.java,library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java,L925,1,0,29,1,932,15,1,0
148,L933,LoadAndDisplayImageTask.java,library/src/com/nostra13/universalimageloader/core/LoadAndDisplayImageTask.java,L925,70,0,399,2,932,62,9,0
149,L934,ProcessAndDisplayImageTask.java,library/src/com/nostra13/universalimageloader/core/ProcessAndDisplayImageTask.java,L925,3,0,34,1,932,12,2,0
150,L4183,ImageSizeUtils.java,library/src/com/nostra13/universalimageloader/utils/ImageSizeUtils.java,L4182,22,0,96,2,932,9,1,1
151,L4184,IoUtils.java,library/src/com/nostra13/universalimageloader/utils/IoUtils.java,L4182,8,0,48,1,932,14,0,0
